userId,username,password,name,age,lastLogin
101,tenant,tenant,yuwei,21,06-08-2023
102,johnDoe,pass123,John Doe,30,05-08-2023
103,janeSmith,smith789,Jane Smith,25,04-08-2023
104,mikeJohnson,mike123,Mike Johnson,28,03-08-2023
105,amyWilliams,amy456,Amy Williams,22,02-08-2023
106,davidBrown,brown789,David Brown,32,01-08-2023
107,lisaDavis,lisa567,Lisa Davis,29,31-07-2023
108,kevinWilson,wilson123,Kevin Wilson,27,30-07-2023
109,sarahMiller,sarah789,Sarah Miller,24,29-07-2023
110,alexAnderson,alex456,Alex Anderson,26,28-07-2023
